question,answer
tết có về không ông,có chứ ông
bạn có bạn thân ở quê không,rất nhiều
ông thích trà xanh không,có
bạn có bồ chưa,mình chưa
thích đọc sách không,có
hhaha giỏi lắm con_trai vô đây bố_chấp,ây tức quá chơi game thắp nhan à
người_yêu mới đẹp hơn hay người_yêu cũ đẹp hơn,đẹp như nhau cả
tụi mình đi ăn chung không,ok đi đâu ăn_chơi
di_chuyển bằng gì,xe_máy
ngoài ngủ thì còn thích gì không,nghe nhạc xem phim hoặc chơi game
chỗ trọ tốt không,cũng ổn
điện_thoại này bên shop được bảo_hành mấy năm,dạhiện tại thì sản_phẩm samsung j7 được bảo_hành 2 năm
quê mày có gì chơi không,săn_bắt hái_lượm
học ônr không,không
có crush chưa,chưa lun tt
bạn có thường đi chơi với bạn_bè như đi coffee hay đi chơi game không,mình chỉ đi coffee với bạn_bè vào mỗi cuối tuần
bố làm gì,buôn_bán
giá_cả căn nhà bạn là bao_nhiêu,hai triệu rưỡi 1 tháng
trường có phát người_yêu không,cái đó tuỳ vào bạn nữa
giải_trí,tiệm net xung_quanh trường cầu ánh sao cresent mall vivo city
ở chung ai,3 đứa chung_khoa
xem phim không,ok phim gì
vậy bữa nào rảnh thì đi,tầm thứ 4 hay thứ 5 đi
ngành bạn học về gì,mình học về công_nghệ thông_tin
bạn thân tên gì,mai anh
vậy bạn thường đi cafe ở đâu,mình thường đi quán cafe phúc long ở gần nhà
điện_thoại đó xài ngon không,mình thấy xài ok lắm
bạn đang ở đâu,tui học ở thủ đức
bạn nghĩ sao về việc du_lịch đà_nẵng,tuyệt_vời mình cũng muốn đi du_lịch đà_nẵng
mày xem phim ở đâu,cgv
xem phim không,ok
mình thích bạn ấy như vậy sao bạn ấy lại không thích mình,bạn đừng buồn có_lẽ là do bạn không phải mẫu người bạn ấy thích thôi
tình trạn công_việc mày sao,khá tệ toàn lỗ
anh qua chở em đi ăn sáng nha,dạ ok anh
tao thấy bộ_môn đó khá được ưa_chuộng và còn ngầu nữa,mày xem các dân tổ đua xe nhiều quá nên ảo rồi à
anh bạn có vợ chưa,anh mình có rồi
nơi đó có gì mà mày thích,đẹp và đặc_biệt
mày này xài chip gì,core i9
ở đâu,3xx đường y moal phường tân lợi tpbuôn ma thuột tỉnh đắklắk
người sài_gòn à,ừ
một chồng sách đặt lên 1 chồng sách khác thì có mấy chồng,2 chồng
đà lạt hoài không chán à,ngủ mát mà
làm_sao đây,đừng lo_lắng
chơi pubg không mạy,tao vô game sẵn rồi chờ mày thôi
ở đó có gì ngon không,bạn đã từng biết về dừa sáp không nó rất ngon
làm thế_nào để từ_chối kèo đi chơi,cứ bảo mệt là được
sao không nghe điện_thoại,điện_thoại bị mất sóng
bạn hay làm gì vào dịp đó,chúc tết nhận lì_xì đi chùa
sao hôm_nay buồn_thế bị crush từ_chối hả,ừ hôm_qua tui mới tỏ_tình xong thì bị từ_chối
thì đi chơi,xe_máy hả
ngành nào,khoa_học máy_tính_mạng và truyền_thông
mày biết bộ phim nào hay không,không biết nữa
nghe đồn mày với người_yêu mày mới chia_tay hã,uk nó bỏ tao rồi
tết này được lì_xì bao_nhiêu tiền mày,ít lắm mày ơi được có 5 triệu à
khi về nhớ mua quà cho mình nhé,đương_nhiên rồi mình sẽ mua thật nhiều mà
quốc_ca nước mình tên gì mày,tiến_quân_ca
bạn ơi bạn có nhóm làm bài chưa,chưa bạn nghe nói nhóm 3 người
có thích làm producer về lĩnh_vực âm_nhạc không,thích
shop ơi mẫu áo này chừng nào về hàng vậy ạ em chờ lâu quá,chào bạn khoảng 5 ngày nữa thì hàng về nhé
yêu ai chưa,chưa
nhà nó ở đâu,không biết
nhà_trọ bạn thuê có gần trường không,nhà_trọ mình cũng khá là gần trường
mày có thích chơi thể_thao không,đương_nhiên là có
bố của bạn bao_nhiêu tuổi rồi,bố của mình hơn 5 triệu tuổi rưỡi rồi
học ở đâu,học ở học_viện rmit
có chứ bạn có muốn xem không,hay quá
tết bạn có đi chơi không,tôi làm gì đi chơi tôi còn phải làm_việc nữa đây
chiều đi trà sữa không,đi
nhà bạn ở đâu_vậy,nhà là nơi có gia_đình mình
thuộc khoa nào,khoa công_nghệ thông_tin
có thích xem phim kinh_dị không,không
lúc trước chị bạn có đi học không,có
hiện_tại bạn làm ở đâu,hiện_tại mình làm ở fpt software
có thích xem phim không,có
đồng_nghiệp của bạn như thế_nào,từ sếp lớn cho tới các bạn giảng_viên ai cũng dễ_thương
bạn tên gì,tôi chưa được đặt tên
mà mình ăn_ở đâu hợp_lí cậu nhĩ,mình nghĩ là ở quận 7 ik cậu cho gần chỗ làmhihi
khi nào,tối nay
nickname facebook là gì,truc nguyen
bạn hay nghe nhạc của ai vậy,mình hay nghe nhạc của keshi á
được nhá cậu đi chơi với người_yêu nhiều vậy thì thấy tính_tình bạn ấy sao,thì bạn ấy cũng dễ_thương hiền_lành dễ_tính cũng có chung sở_thích
chia_tay đi em,không
bạn đi đến đó với ai,với gia_đình
về nhớ mua quà cho tao nha,ở đà lạt có gì đâu mà mua
bạn mua là ai cũng nhìn bạn khác,khác như thế_nào vậy bạn
quan_điểm của bạn về bạn_bè như thế_nào,bạn_bè là đồng_chí là những người đồng_hành cùng chúng_ta trên cuộc_đời
có muốn đi không,có
bạn sinh năm con gì,mình sinh năm con rồng
mình học cao_đẳng nghề du_lịch sài_gòn,bạn học chuyên_ngành gì vậy
tớ rất thích người_yêu ấm_áp nhưng có nên quen người lạnh_lùng không,cậu nên thử mới biết được
đang đi chơi hay ở nhà,ở nhà
bạn cho mình hỏi hiện_tại bạn có crush với ai chưa,tớ chưa có crush với ai hết
bạn cung hoàng_đạo gì,ma_kết
bạn đang ở đâu,mình đang sinh_sống tại thành_phố hồ chí minh
it ' s the middle of summer it shouldn ' t rain today,that would be weird
quần này có màu xám không,hết hàng rồi
đi làm ổn không,ổn
nhân_vật yêu thích,iron man
đông người ở không,đông toàn sinh_viên
sáng_mai mình đi xem phim nha,được đó phim bắt_đầu lúc mấy giờ vậy
có bao_nhiêu chương_trình dạy_học ở tdtu,có 3 hệ chương_trình ở tdtu
bao_nhiêu 1 tháng,3 triệu
cho em hỏi bao_nhiêu tín_chỉ thì được tốt_nghiệp vậy ạ,tùy thuộc vào từng ngành mà sẽ quy_định số_lượng tín_chỉ tối_thiểu để tốt_nghiệp em nhé
mày đi mấy ngàykhi nào mày về,tao đi 5 ngày mới về
haha bố mày cũng vậy thôi 🤣,mày định làm trùm trường à góp gạch xây trường à
sao nữa,luôn hỗ_trợ
nhà mày đường nào,nguyễn thị tần
tay_trái cầm được tay phải cầm không được,cổ_tay_phải
bạn của bạn tên gì,bạn của mình tên đạt
nhà bạn ở đâu,quê mình ở nghệ_an
bạn học giỏi không,ngu
bạn cho mình hỏi bạn có hay đi mua quần_áo không,tớ không có hay đi mua quần_áo
vui hả,đúng rồi nên cũng cố_gắng
quê mày ở đâu,tò_mò
ê cậu rảnh chưa tới giờ lên chơi rồi,đợi mình một xí
à tớ muốn thử hủ_tiếu khô,okay để tớ đi gọi
mày sinh ở đâu,vĩnh_long
bạn quê ở đâu,quảng_nam
bảo_hành bao_lâu,1 năm
thế lan thích coi phim gì,mình coi phim hoạt_hình đi mình thích phim doraemon ấy
bạn đang học trường nào,t đang học ở tdt
món ăn ưa_thích,gà rán
tết ngoài quê bạn có vui không,tết ở quê mình vui lắm
chơi game không,ok
bạn hôm_qua mình gặp ở nhà_hàng tên gì vậy,mình gặp ở manwah vincom đồng_khởi
cho em hỏi là trường mình có môn bơi không ạ,có trường mình với tiêu_chí bắt_buộc học qua môn bơi mới được ra trường
cậu tên gì,mình tên là khải
ăn lẩu không mày,ok duyệt đi ăn kichi kichi nha
bạn thích nhất là đi du_lịch ở đâu,tôi thích đi vũng_tàu
bạn học trường nào,tớ học đại_học tôn đức thắng
đó ông biết loại quả đặc_trưng của bến tre là gì,trái dừa đúng không quá dễ ông nên hỏi câu nào khó hơn nhé
hay cuối năm nay mình chơi lớn đi du_lịch nước_ngoài đi,đi thái lan được không hay đi hàn_quốc
ngành_nghề mà bạn yêu thích,mình thích nghề thiết_kế trang_web
khi rãnh bạn bạn có thích đọc sách không,cá_nhân mình không thích đọc sách lắm
cửa_hàng nào vậy có gần nhà không,vinmart á cậu cách nhà_tớ 2 km
ngoài chơi game ra bạn có chơi môn thể_thao nào không,mình có chơi bóng_rổ
bạn quê ở đâu,quê mình ở nghệ_an
tết qua nhà tao chơi,ok
bạn là sinh_viên năm mấy vậy ạ,mình đang là sinh_viên năm 3
mình nên ăn đồ hàn ở đâu,mình nghĩ nên ăn_ở dookki hoặc busan
đang làm gì,làm sinh_viên
mẫu người_yêu của bạn là người như thế_nào,chỉ cần là con_gái là được
hmm thế bạn nghĩ sao về tình_yêu đồng giới,mình không
thế không đọc sách về tâm_lý à,mình không quan_tâm cho lắm nên không đụng tới
cậu thích thể_loại phim nào,tớ thích kiểu phim siêu anh_hùng giống marvel hay dc comic á
tôi nghĩ họ chơi với la,đó sẽ là một trận_đấu khó_khăn la có một đội_ngũ tốt
bạn có muốn có bồ liền không,tao có rồi có mày chưa có
mẹ làm gì,buôn_bán
mày rời xa quê mày không,tao nghĩ là có_thể
đường d4 gần chung_cư hoàng_anh thanh_bình,à tao biết rồi
tao tính mua cái điện_thoại mới mà đang không biết nên mua loại nào,mày mua android hay ios nói rõ tao chỉ cho
bạn có_thể tính_toán không,bất_kỳ bài nào
đâu là tiêu_chuẩn để bạn lựa_chọn một người con_gái,phải chắc_chắn đó là gái tự_nhiên không phải gái nhân_tạo
làm nghề gì,công_nghệ thông_tin
cho mình hỏi ba mẹ bạn làm ngành_nghề gì,bố_mẹ mình làm công_nhân
bạn mày ở đâu,nhà nó
đêm 30 cậu ở nhà phụ cúng hay ra đường chơi coi bắn pháo_bông ấy,chắc là tớ ở nhà phụ mẹ cúng với coi táo_quân
tết nghỉ nhiều không,nhiều
thể_loại phim bạn yêu thích là gì,mình thích phim kinh_dị mặc_dù mình rất sợ ma
mày hay đi xem phim không,thỉnh_thoảng
bạn ơi bạn có muốn đi du_lịch với mình vào dịp hè này không,oh được chứ bạn
tuần này bạn có muốn đi xem phim không,tớ có
bạn cảm_thấy mình là một người hòa đồng không,có chứ mình có rất nhiều bạn_bè xung_quanh
thuê nhiêu,triệu rưỡi
mày học ở đâu,hỏi làm gì
bạn là người miền bắc à,đúng rồi
cho mình hỏi bạn ở đâu,mình ở tphcm
bạn thích gì nhất trong tình_yêu,mình thích sự yên bình thoải_mái trong tình_yêu
còn bạn học ở trường nào,tui học ở tdtu luôn
bạn thích nơi nào nhất ở việt_nam,vũng_tàu
định hỏi ý_kiến mày,tao cũng không biết nữa
xếp loại học_lực của bạn như thế_nào,cầu vừa đủ xài nha
dịp lễ tết bạn có đi đâu,không
bạn nghĩ sao về cờ_bạc,cờ_bạc người không chơi là người không thắng
tết này mình có hội_chợ xuân không,chắc không rồi năm nay bị dịch covid
oke vậy hẹn gặp bạn ở buổi học tới,ok bạn hẹn gặp bạn trong buổi học tới
phòng nhiêu người,3 người
mới xem phim xong đói bụng không,đói
phim gì bạn,dr strange á bạn
nhà bạn dài bao_nhiêu mét,mình chưa có đo
thích iphone hay samsung,samsung
sáng nay có tiết không,chiều 4 tiết
mình không có tiền nên ít đi lắm,trời
đi ăn chung với tao,được mai tao đi
lúc lý_tưởng để ăn trưa là khi nào,đói
tết này bạn có định về quê không,chắc là có nếu tình_hình dịch_bệnh không quá căng_thẳng
có bồ chưa,chưa
mồng hai tết bạn muốn đi đâu,gia_đình
làm_quen chưa,quen lâu rồi quán quen mà
bạn cho mình hỏi bạn có thường đem công_việc về nhà làm không,tớ không thường đem công_việc về làm
bạn thích điểm nhất về người_yêu của bạn,mình chưa có người_yêu
bạn tên là gì,mình tên tùng
họ_hàng của bạn có phải con_cháu phạm nhật vượng phải không,mình cháu nội đít tôn của ông trump
vậy bạn thường đi cafe ở đâu,gần nhà
ngoài phân ra bạn có_ăn gì khác không,chắc có
trà sữa không,bao thì uống
bạn có em_gái không,có nhé
nên mua áo này không,áo này dược đó
cuối tuần bạn đi chơi hay chơi với gia_đình,chơi vói gia_đình á cũng có đi chơi nhưng mà ít
crush mày như nào thế,đẹp_trai lắm mày ạ
mình hay xem phim tình_cảm hơn,bạn có muốn xem thử phim tình_cảm tâm_lý không
bún đậu ăn_ở đâu thì ngon,không biết
bạn học giỏi không,mình học ngu lắm
quê_hương đẹp không,đẹp
đang làm gì,it
ai vậy,bạn chung lớp
mỗi lúc buồn bạn thường làm cái gì,đi chơi
rank gì rồi,kim_cương
bạn đi làm gặp rồi quen nhau hay sao thế,không tụi mình ở cùng khu trọ
trường anh_chị có đào_tạo ngành công_nghệ ô_tô không ạ,không á em
bố_mẹ có hạnh_phúc không,hạnh_phúc
cậu có thích đi du_lịch đây_đó không,thích chứ mình thích đi nhiều nơi lắm
robot thông_minh không,thông_minh nhất đời chỉ thua người tạo ra tôi
